game,winner
i10h9j9h11k10j10m6m12l7k8l6n6k6h7m8n9l9j11,1
i10h9j9h11k10j10g6m12k9m9k7k8h6i6h7i8i7j8,1
i10h9j9h11k10j10g6m12k9m9l7k8h6j6i8h7i7j8,1
i10h9j9h11k10j10l9l11i12j11i11i9h8i8n7i14g9i7f8h10h13j7g10k7j8,-1
i10h9j9h11k10j10g6m12k9k8n9m8h6i6i7j8l8h5j7h7g8g5m7i9h8e8g9j6g11n6f10e11g10,1
i10h9j9h11k10j10g6m12l9n7i12j11i11i9h8m6i6j6i8h7k8j7,1
i10h9j9h11k10j10n13h7l9n7m6h13k9m9l11m12k8l7,1
i10h9j9h11k10j10g6m12k9k6m9l9m6k8j7m8l8j6n6k11h8o6p12h7f6o11o5m7n7n5e5g7k4l5e6h6e7e8i6e3h4g5f4d6f5f7f3f2g4h5,1
i10h9j9h11k10j10m6m12m9i8k8l7k9k11,1
i10h9j9h11k10j10l9n7m9k9h12i12m6i8g10h10n13n9j6h8h7j8k8l7i9m7k7,-1
i10h9j9h11k10j10g6m12l9n7l11h13l12l10l7i12k8m6k9m9,1
i10h9j9h11k10j10l9h7i12j11h8m12i11i13o6i7m6j12i8i9k8l7,1
i10h9j9h11k10j10g6m12k9h7l9m9i12j11h8k8o6l12k11m8k13k12n12l8j8i11g5g8j5i5i7h6j6j7,1
i10h9j9h11k10j10l9h7i12j11h8m12i11i9m6i14f8g8g9h10n7i7k7l7k9k8m8o6m9n9,1
i10h9j9h11k10j10n13h7m6m12k13m13i11l12k11k12j12l14i13h14,1
i10h9j9h11k10j10l9h7l7l11k8m6k9k11,1
i10h9j9h11k10j10l9i8l7m8k8m6k9k7,1
i10h9j9h11k10j10g6m12k9m9k11k12m6k8h6h7n7p9m8l9n11i6j7j5k4l5f6f9g8e8g10g7e7d8m7m4o7p7o6p5n6p6p8m5k5n8k7l7,1
i10h9j9h11k10j10l9i8l7m8k8m6k9m9,1
i10h9j9h11k10j10g6m12l9n7i12j11i11i9h8m6i15j3j6g9j7i6j8j5,1
i10h9j9h11k10j10l9i8o6h13l7l8k8m6k9m9,1
i10h9j9h11k10j10g6l11l9n7i12j11i11i13,1
i10h9j9h11k10j10g6m12k9h7k6m9k13m6i4h5h8j5i6k11j6h6i7g9,1
i10h9j9h11k10j10m6m12g6i8m8m7n7l9p5o6o4q6o8l5n8l8k9n5q10p9m2n3l7k8h8n11o10,-1
i10h9j9h11k10j10i8h7n13m12k9i7h8k8e8m9j7k12n12n15m4i12j13n10m13g8l5k6o11p10j5p13o10o9l12j6l13k13l14k15,1
i10h9j9h11k10j10n13m12l7m13k7k8i7j7i8i9,1
i10h9j9h11k10j10m6l11l9h13m8n7m9k9,1
i10h9j9h11k10j10g6m12l9n7l11i12l12l10l15m6i6m9o7m11m10h7o8n9j7k8h8o10m8n8n6n11n10,-1
i10h9j9h11k10j10n13h7k9m12k13m9m6k8i11j12h8i13k11k12l12n10i7g9i8i9m13l13m11i15n14o15n12n15,1
i10h9j9h11k10j10l9h13m8j11h12i8l7l5k8m6k9m9,1
i10h9j9h11k10j10l9n7i12j11i11i13i8i9,1
i10h9j9h11k10j10k8m6g6l11i12h7h13j11h8i11k11k9l8o8k13n8f15k12n9f11g11j14j13i13m8o10n13g14l7l10i4l5n7j5o6l9o7m7k5i7j8i8g10i6k4f7j7i5i9k7g13j4g7f6f9g5g12g9,1
i10h9j9h11k10j10g6m12k9m9k7k8n7m8m7l7k13n8l8i8k6o7l10n12k12k11h8o5m10i7j13l11o10n10n11h13p9m13l12o12p12h12h10i11j11k15l14j14i13m15m14l13p11p10p14p13o8m6q5o14n13n15q12,-1
i10h9j9h11k10j10g6m12k9m9k6m6k7k8k13h7n7h6h8l7n4l6n5n6k4k5m7k11p7m4o6o7l4j4p5q4p6p8q9o5q6q8n8p4l9m8s4r6o9p9o8r5r7o4o2p10r2p11p12,-1
i10h9j9h11k10j10g6m12k9m9l7k8h6j6i8h7i7j8,1
i10h9j9h11k10j10n13h7k13m13m6i8m8m12l9n7m9k9,1
i10h9j9h11k10j10m6i8n13l5l9h13m8n7m9m7,1
i10h9j9h11k10j10g6m12k9k6m6k8i8h7k13k12j3i11h8f8k11l5g3l9i6h6i4h5i3i5,1
i10h9j9h11k10j10l9l11o6i12g6h7l6m8m6l7,1
i10h9j9h11k10j10g6m12l9n7i12j11i11i13,1
i10h9j9h11k10j10g6m12k9m9l7k8h6h7i7j8h8j6l8l6g5g9f6e6g7e5,1
i10h9j9h11k10j10n13h7k13m13l9m12k8k9h12n11m11i6i12j11k11k12i13i11j14k15,1
i10h9j9h11k10j10g6m12k9m9k11k8h6k14i8h7i7i9,1
i10h9j9h11k10j10g6m12k9k6m6k8i8h7k13i11h8g8i6h6i5i7k12k11j11l9k14m13l12m10m11,-1
i10h9j9h11k10j10m6i8n7p9m8l9m7m5l7k8,1
i10h9j9h11k10j10g6m12k9m9k7k8l11k12j8l10j12g11i8h7i9i7,1
i10h9j9h11k10j10g6m12k9m9k6h7m6k8k4l5k13k5j5l6i4l7l4j4m7m5h8n4k7h5l3m2i3i5o5k11l8n6o6o4n3h6g7g5n5m4o3h3h4m3m1f4i7m11m10e5f5g9o7o9p7q7r5q8i8i9,0
i10h9j9h11k10j10l9l11o6n7m6i8k9m9k8l7,1
i10h9j9h11k10j10m6m12l7k8l6n6l10l4l5k4k6i8h8i6l9l8m8n7,1
i10h9j9h11k10j10g6m12l9i8i12j11i11i13o6m9i6m8g4h6h5j7k6g5m6l7i7n6e8f7i4f4j5i5j3k2k4h7,1
i10h9j9h11k10j10g6m12k9m9k6m6h6k11h8i6i8h7j8g8,1
i10h9j9h11k10j10g6m12l7m6l9n7i12j11i11i9h8l12i15l6i4j3k9m9i14i13j5k6j6g9i8h7k8k11m13,-1
i10h9j9h11k10j10m6m12l7k8l6n6k6i6m8j5l9j11,1
i10h9j9h11k10j10n13i8l9m8m6m9o12p11h13i12g10l15n12n11m11m12o10o13o11l14l13p12n14o8p10q9l7k8h8l8,-1
i10h9j9h11k10j10g6m12k9m9l7k8h6i6e6i8h8j7g10,-1
i10h9j9h11k10j10g6m12l9i8o6n7l6h13m9k9h12m6l8l7i12n10i13i11f11j12e12j14j11m8n9o9k7i5f12g12o3f13o4o5k12d13e9l13e11e10f10g11g9d12d15g13e13,-1
i10h9j9h11k10j10m6m12m8h7l9j11m9m7,1
i10h9j9h11k10j10m6m12m9i8k8l7k9k11,1
i10h9j9h11k10j10g6m12m6l7n7l5n6k6m8l9h7i8j7m5g7i7n5n4l6g5f7p6f5g10f6f4h6e6f8f9,1
i10h9j9h11k10j10m6m12l7k8l6n6k6l4m8j5l9j11,1
i10h9j9h11k10j10g6m12k9m9l7k8k13h7m11l12k11k12n12l10q15l13l11j11i4o11l4o13o10h5h8i6j7j5k4j4f9k5i5l5i12i11m7k7o4m4o5o7l8n6n5q5n9m8n11n10n15o3p3m6p6q7p4p5r1q2,0
i10h9j9h11k10j10l9l11o6i8h13n7i12j11f11i14e16m6k9m9k6k11i11h8h10,-1
i10h9j9h11k10j10g6m12k9h7m6k8h6f6l9m9o6p6n7m8n8p9o8k4o7o5p7q7n4n5n9m10m11n10o10o9n12l7l10,1
i10h9j9h11k10j10l9l11i8g6m9k9h12i7o6n7i12j11i13i11k11j12l10o7m7k13l14f10g9k15m6m8l6l7,1
i10h9j9h11k10j10g6m12m6i8k9k8h8m9j7p9f6e6k12e5g5g4h6j8f4e3e4f5h3h4g9j6l8e11n6p6o5m7k13k11o6o7n8p7p8,-1
i10h9j9h11k10j10g6m12k9k6m6k8i8h7l9m9k11i12i7i9l10j8h10m8m11l11l6n12l7l8n8k5k7l5m5i5k13k12l12n10j13i15i13h13j12h14,1
i10h9j9h11k10j10g6m12l9n7i12j11i11i9h8i13i6m6i8h7k8j7,1
i10h9j9h11k10j10l9i8o6h13m6m8k9m9k8l7,1
i10h9j9h11k10j10l7m12k7k8i7j7i8i9,1
i10h9j9h11k10j10g6l11l9n7m8m6h13k9l8l6n8k8m9m11i12j11k11l10j8p8i13i11h7i8f11k6j7,-1
i10h9j9h11k10j10g6l11i12i8h13j11f11i14i13g13i11i9h8g14m6k11j13k13m11g15g12d9f12h12f8f14h14f9g9h10l7k8e12c14e11f10g7e9g8,1
i10h9j9h11k10j10g6m12m6i12l7k8l5o8l4l6l11k4m4m5j8l3j5k6n5o4k5j6g5h5i6g8i8h7,1
i10h9j9h11k10j10m6i8n13l5m8m5l7k8h8l9j7l11o4n9i7k7k5j6m9m11m10m7l10o7g7o10p3n5o5n4l6n6l4,-1
i10h9j9h11k10j10l9l11i12j11i11i9h8i8o6i14g9i7j12h10k8l12j7m10k11k9j8h14l7m6j5j6,1
i10h9j9h11k10j10g6i12k9k8m12l11h6l9m10m11k11h5k13k12h12k6j7i6h7i8i7j8,1
i10h9j9h11k10j10g6m12k9m9k7k8k13i8h8h13j7i7n7j8f6i5i6h6m8l9h5e8g7e5g4f3,1
i10h9j9h11k10j10n13i8m6l11o6n6m4m5n7n5o8p9o5o7l4k4n4k5k6j5l5n3l2m3,1
i10h9j9h11k10j10g6l11l9n7m8h13i12j11i11i13,1
i10h9j9h11k10j10g6m12k9m9m6k8n7l5p9o8k13h7n5n8h8o7l10o4m11j8n6l6l8o9o6,-1
i10h9j9h11k10j10m6m12l11i8l9m9o6l8f11n6k8l7k11k9m7h12i11,-1
i10h9j9h11k10j10g6m12k9m9l7k8k13h7n7m7i4h5h8i6j7m8m6p9j8j5g8l5i7l10g9f10,1
i10h9j9h11k10j10g6m12l7i8n5l8f11i12i4l5o4m6k6j5h5f7i6h6k9k8j8m11j3k2n9i5l9m9m8o10,1
i10h9j9h11k10j10g6m12l9n7i12j11i11i9h8l12i15l7i6h7i4f7i14i13j6h6i7g9,1
i10h9j9h11k10j10l9i8o6h13i12i13h12e12k9m9k12k11,1
i10h9j9h11k10j10m6m12l11i8k11k8h8n11o8l5k14n9j6i7o6j7k6l6l7i6l9,-1
i10h9j9h11k10j10g6m12l9n7m9k9h12i12p9m6p6n8j6m7l8k7l7l10m5k5l6l5k4p7o11n4p12n10n9o9m11p11q13j5l11h7k12m10p10k11h8k6k8i8j7m13l12m14h5i6f9f7h15l15i4o12n13i14h4j4,0
i10h9j9h11k10j10g6m12i12i8h13j11k9m9i13i11k11k12f11g13h14j12h10f14h12h16f10g11,1
i10h9j9h11k10j10n13i12m6l15l7k8i8l11p3g6l6l8i7i9h8j6l5e8f8o8g8j8k7j7m10i6h5,-1
i10h9j9h11k10j10g6m12j6i12g3e8m6h7m3h6h8i7g10l7h10e10g7e5g9g8f9e11e9f8c8c9k13k7j7l6j8j5i6l5l8g4k8i8,1
i10h9j9h11k10j10n13h7i12m12k9l9m6k8n12i11h8k13n11n10k11m11l12i6j7n14i7j6h6j8m9e11g11k4j5n8f4m7l8l14j12m14o14,-1
i10h9j9h11k10j10l9i8l11h13m8n7m9k9h12m6j11i12m11m12,1
i10h9j9h11k10j10l9l11i12j11i11i9h8i8n7l5i15i14g9h10h13i7j7k8d12j8g11l12o6m8l8g10f15g14l6f10p5l7i5g5h6g7j6k7k6i6h4g3h3n6r3q4h5,1
i10h9j9h11k10j10l9h7i12j11h8m12m9k9i11i9o6p9i15m6n7m8o7o4l7m7l10n8,1
i10h9j9h11k10j10m12l11h7l12k7i8k4i7n4k11m13m10i11i6i9i13l10j13k12g10i12,-1
i10h9j9h11k10j10m6m12l7k8l6n6l10l4l5k4n5l8m5k5k7n4m4m3n2o5m7m8,1
i10h9j9h11k10j10g6m12k9l9k6h7k13i6i4h5k8k7l7m6,1
i10h9j9h11k10j10g6m12l9n7i12j11i11i13,1
i10h9j9h11k10j10g6m12l9n7m9k9h12i12n9p9l8l7o11n10o8p7p8n8m10o12i8h7k8j8,1
i10h9j9h11k10j10g6m12l11l12k11m11k12k9h12i8l8k14m14l13n11j13i12k13n10,-1
i10h9j9h11k10j10m12l11g6l9o10n11o12l7h7i8d3n12l10o13h6k6j7n9n10m10o8j5m8o11m11p8h5h4i6f6,1
